datetime,target_tempmax,target_tempmin,temp,humidity,precip,windspeed,winddir_sin,winddir_cos,cloudcover,visibility,humidity_roll_mean_7,precip_roll_mean_7,temp_lag_1,humidity_lag_1,precip_lag_1,temp_lag_2,humidity_lag_2,precip_lag_2,temp_lag_3,humidity_lag_3,precip_lag_3,tempmax_vs_doy_avg
1/15/1998,21.1,17.1,-1.556521619,-0.637130289,0.8236435705133527,1.2373426832597971,0.7616350070900587,0.31602568712314877,0.7164803284602995,1.1195835173674822,0.6816748607249193,-1.180083109,0.03726377938372292,-0.046222735,-0.806969814,-0.435511217,1.5861822552344527,0.2749511966990624,-1.01017856,0.47253445768454727,-0.820167755,-0.127581124
1/16/1998,22.1,17.1,-1.053761462,0.5768930349961235,-0.802809964,0.04735178367540802,0.8103300110772854,0.15883914375393968,0.9343950176403876,-1.145016943,0.42324016781649637,-0.966300655,-1.539590318,-0.638383305,0.8063030173281067,0.04492923161304304,-0.064850767,-0.815689722,-0.431754182,1.5634860598267286,0.2488745815194895,-0.127581124
1/17/1998,24.1,14.1,-0.918402958,-1.017798619,-0.802809964,2.087336182962932,0.7052318837754863,0.4476641720361445,0.68534965857743,0.19696851518903433,0.4779453214235509,-0.966300655,-1.03961219,0.5459378345425686,-0.806969814,-1.530915438,-0.658819963,0.7701004010180925,0.0502661325741047,-0.077945709,-0.820167755,-0.127581124
1/18/1998,15,10.1,-1.730553982,-1.429331949,-0.802809964,1.4073413832004238,0.6632715205393591,0.5277598577851982,0.942177685111105,0.909898289599653,0.20253316536613095,-0.966300655,-0.905002693,-1.009738238,-0.806969814,-1.031257372,0.5291184303280917,-0.815689722,-1.5307605,-0.668460796,0.7398558790799357,-0.127581124
1/20/1998,18.1,10.1,-2.484694217,0.6797763675111536,-0.481073202,0.04735178367540802,-0.219543625,1.2711102786173056,1.117287703202247,-0.390150123,-0.131356912,-0.946909489,-2.481856791,0.4857181155974432,-0.489542997,-1.703874,-1.434000102,-0.815689722,-0.894493684,-1.038783817,-0.820167755,-0.127581124
1/21/1998,16.1,12.9,-2.194640281,0.8443896995352012,-0.006930652,-0.00931445,0.4339993079420439,0.8383117758003391,1.2729410526165952,-0.390150123,-0.310563452,-1.026491725,-2.462626863,0.6463040327844428,-0.489542997,-2.472578717,0.46871478319058446,-0.506642112,-1.704287813,-1.439133029,-0.820167755,-0.127581124
1/23/1998,15.1,11.1,-1.904586344,-0.853185287,-0.802809964,1.4073413832004238,-0.545008855,1.363566387505501,1.0550263634365074,0.1550314696354679,0.2742157821221806,-1.180083109,-1.981878662,1.6198561557306217,-0.806969814,-2.16509683,0.790867567923952,-0.047653941,-2.456239504,0.6126566818129013,-0.518605853,-0.127581124
1/24/1998,15,12,-2.078618706,-0.544535289,0.3232209966787621,0.04735178367540802,0.004901118824993853,1.1675001020185334,1.0628090309072247,0.8679612440460873,0.012008318451342568,-1.180083109,-1.885729022,-0.849152321,-0.806969814,-1.972920651,1.6063168042802871,-0.815689722,-2.167027315,0.772796366531019,-0.0688489,-0.127581124
1/25/1998,15,10.1,-2.310661855,-0.266750292,-0.802809964,0.04735178367540802,-0.57519088,1.3690820770417131,0.9655256875232571,0.07115737852833655,0.09878201165470857,-1.068401927,-2.058798375,-0.548053726,0.30729387788225243,-1.876832561,-0.870232728,-0.815689722,-1.974219189,1.5835035204164922,-0.820167755,-0.127581124
1/26/1998,15,11.9,-2.484694217,1.2044813633378064,-0.802809964,-0.632643016,0.20822072691276355,1.0379526303998468,1.2534843839398018,-1.983757854,0.31194347390071037,-1.068401927,-2.289557511,-0.277064991,-0.806969814,-2.049791122,-0.568214493,0.2749511966990624,-1.877815126,-0.878644132,-0.820167755,-0.127581124
1/28/1998,18.1,13.9,-1.633869336,-1.295583617,-0.802809964,1.4073413832004238,-0.915001603,1.3982034859771721,1.0316783610243552,-0.22240194,0.6571518613329697,-1.047261419,-2.251097655,1.810551932390183,-0.020445962,-2.453361099,1.1432221762260724,-0.815689722,-2.282712191,-0.308146505,-0.820167755,-0.127581124
1/29/1998,21.1,14.1,-1.595195478,-2.499318607,-0.802809964,0.04735178367540802,0.561378319988203,0.6856466993571246,0.6814583248420715,0.7421501073853896,0.2647838591775491,-1.11184141,-1.61651003,-1.280726973,-0.806969814,-2.241967302,1.7975950202157245,-0.047653941,-2.456239504,1.1231019268519027,-0.820167755,-0.127581124
1/30/1998,20.6,17,-1.285804612,-0.493093623,-0.802809964,0.7273465834379162,0.5846734639380393,-1.026958371,0.27675961636476565,-0.180464895,-0.501088299,-1.11184141,-1.578050174,-2.455011493,-0.806969814,-1.60778591,-1.303125533,-0.815689722,-2.244150566,1.7736693960192582,-0.0688489,-0.127581124
2/3/1998,19.6,11.6,-0.280284297,1.6057263601464244,-0.006930652,0.7273465834379162,0.6300701810632321,-0.957871014,1.0044390248768442,-1.186953988,0.5119002450806005,-0.986021592,-0.751163269,1.9510646099288076,-0.489542997,-1.012039754,1.8982677654449016,0.7701004010180925,-1.183705873,1.4734074871727865,-0.820167755,-0.127581124
2/6/1998,19.1,12.4,-2.310661855,-0.174155292,-0.802809964,0.04735178367540802,-1.056522718,1.3928756260028115,1.1717663754972685,-1.103079897,1.2438174798451271,0.0916704214804862,-2.347247295,-0.256991751,0.30729387788225243,-1.896050179,0.6599929991260218,1.7457463598860985,-0.258226869,1.5134424083523166,-0.0688489,-0.127581124
