datetime,target_tempmax,target_tempmin,temp,precip,windspeed,cloudcover,humidity,winddir_sin,winddir_cos,humidity_roll_mean_7,precip_roll_mean_7,temp_lag_1,humidity_lag_1,precip_lag_1,temp_lag_2,humidity_lag_2,precip_lag_2,temp_lag_3,humidity_lag_3,precip_lag_3,tempmax_vs_doy_avg
2023-01-01,20.5,10.3,-1.9000790916943746,-1.021998975465985,-1.227958120853731,-1.5970496393914522,-1.3699600085718475,-1.7999012279364808,1.3521147913115845,0.18948749250575478,-0.40428624786724127,-1.8940767559871559,-1.3765322387691141,-1.0153929764564513,-1.8921213935415624,-1.3628119067763635,-1.0102999257343854,-1.8945324886572152,-1.3526816020745112,-1.014997625949023,-1.4594927339101997
2023-01-02,19.0,11.4,-1.8177020486408362,-0.8499471899064323,-0.7817706039332344,0.3903332185733099,-0.6554720468591758,-0.728732807805385,1.372844427427877,0.18948749250575478,-0.40428624786724127,-1.8940767559871559,-1.3765322387691141,-1.0153929764564513,-1.8921213935415624,-1.3628119067763635,-1.0102999257343854,-1.8945324886572152,-1.3526816020745112,-1.014997625949023,-1.8533834095751671
2023-01-03,19.4,14.0,-1.7353250055872969,-0.8499471899064323,-1.2527463162382029,0.5646650482193417,-1.0637508821235597,0.07914432226504776,1.1964873237505098,0.18948749250575478,-0.40428624786724127,-1.8117923195047922,-0.6565385860081252,-0.841029306948398,-1.8921213935415624,-1.3628119067763635,-1.0102999257343854,-1.8945324886572152,-1.3526816020745112,-1.014997625949023,-0.19028944565641343
2023-01-04,21.8,14.1,-1.364628311846373,-1.021998975465985,-1.7980866146965881,0.49493231636092894,-1.0637508821235597,0.9003391669035349,-0.5632112282116674,0.18948749250575478,-0.40428624786724127,-1.7295078830224277,-1.067963530442976,-0.841029306948398,-1.8096919914571856,-0.6478485419202478,-0.8348117518340737,-1.8945324886572152,-1.3526816020745112,-1.014997625949023,-0.34346915285945706
2023-01-05,21.9,14.4,-1.3028455295562187,-1.021998975465985,-1.5749928562363398,0.704130511936167,-0.14512350277869598,-1.3909402828361142,1.3920771137899763,0.18948749250575478,-0.40428624786724127,-1.3592279188517904,-1.067963530442976,-1.0153929764564513,-1.7272625893728082,-1.0563990361237425,-0.8348117518340737,-1.8119025029184936,-0.6422689501346253,-0.8424364070799713,-0.5622973060066615
2023-01-06,24.6,15.7,-1.1380914434491411,-1.021998975465985,2.0192954745121074,-0.8299895889489124,-1.7782388438362313,-0.5266425183774877,1.3459569971799443,0.18948749250575478,-0.40428624786724127,-1.2975145914900172,-0.14225740546456175,-1.0153929764564513,-1.356330279993112,-1.0563990361237425,-1.0102999257343854,-1.7292725171797714,-1.0482190369574171,-0.8424364070799713,-0.12464099971225273
2023-01-07,21.5,12.0,-1.5499766587168349,-0.35508528698631375,-0.6082532362419297,-1.3878514438162142,-1.8803085526523273,-2.4808226106648785,1.1841066903109403,-1.4550346645777796,-0.8133898775032126,-1.1329457185252891,-1.787957183203965,-1.0153929764564513,-1.2945082284298293,-0.13716042416587923,-1.0102999257343854,-1.3574375813555237,-1.0482190369574171,-1.014997625949023,-0.7592426438391452
2023-01-08,22.4,13.7,-1.4470053548999116,-1.021998975465985,-0.5834650408574578,-0.5161922955860553,-0.8596114644913677,1.1552677278918926,-0.1750584137795116,-1.3621238082453773,-0.8133898775032126,-1.5443679009371092,-1.8908134193126778,-0.34077225764731206,-1.129649424261075,-1.7713624009798583,-1.0102999257343854,-1.2954650920514823,-0.1348313416061353,-1.014997625949023,-0.9343051663569095
2023-01-09,22.1,15.4,-1.1998742257392954,-1.021998975465985,-1.8972393962344762,0.49493231636092894,-0.14512350277869598,-3.1106617122104914,0.8528766413492365,-1.269212951912975,-0.8157478234953508,-1.4415123553341542,-0.8622510582255507,-1.0153929764564513,-1.54179643468296,-1.873500024530732,-0.33210656001338,-1.1302051205740384,-1.758631688897303,-1.014997625949023,-0.9999536123010702
2023-01-10,20.9,17.1,-1.1998742257392954,0.9846569944415724,-1.203169925469259,0.9481950734406115,0.9776432941983596,-0.5667095108588885,1.3521147913115845,-0.8975695265833621,-0.702566415872719,-1.1946590458870623,-0.14225740546456175,-1.0153929764564513,-1.4387596820774888,-0.8521237890219951,-1.0102999257343854,-1.5433550492676475,-1.8601192106030011,-0.3466566157762645,-0.32158633754473787
2023-01-11,22.8,17.3,-0.9939316181054484,-0.26346419511015867,-1.0296525577779547,0.4600659504317226,0.7735038765661677,1.1469781667818963,-0.19763815956346523,-0.5630904437867111,-0.68841873991989,-1.1946590458870623,0.9891611917312779,1.0008250266486054,-1.1914714758243579,-0.13716042416587923,-1.0102999257343854,-1.4400675670942453,-0.8452439935460212,-1.014997625949023,0.5974919056735226
2023-01-12,23.7,16.0,-1.076308661158987,-1.021998975465985,-0.8313469947021782,-0.44645956372764256,0.8755735853822636,0.14888418515294854,-1.0176764136309722,-0.3772687311219047,-0.68841873991989,-0.9889479546811524,0.7834487195138525,-0.24837681689187324,-1.1914714758243579,0.9863534348937314,1.0082152614902455,-1.1921776098780799,-0.1348313416061353,-1.014997625949023,0.9257341353943292
2023-01-13,29.3,17.3,-0.5202636205476002,-1.021998975465985,0.6311565329816723,-1.074054150453357,0.26315533248568784,0.04369221825488194,-1.054814542688802,-0.005625305792291739,-0.68841873991989,-1.071232391163516,0.8863049556225653,-1.0153929764564513,-0.9853979706134153,0.782078187791984,-0.23939814084616073,-1.1921776098780799,0.9815313971565426,0.9899848320033264,2.04175771644507
